(Synset(resignation.n.02), [6, 2])
(Synset(reproductive_organ.n.01), [6, 2])
(Synset(pathology.n.02), [6, 2])
(Synset(discrimination.n.02), [6, 2])
(Synset(inspire.v.01), [6, 2])
(Synset(size.n.01), [6, 2])
(Synset(part.n.09), [6, 2])
(Synset(arrival.n.02), [6, 2])
(Synset(storm.n.01), [6, 2])
(Synset(religious_holiday.n.01), [6, 2])
(Synset(section.n.03), [6, 2])
(Synset(address.v.09), [6, 2])
(Synset(system.n.01), [6, 2])
(Synset(soft-finned_fish.n.01), [6, 2])
(Synset(tibeto-burman.n.01), [6, 2])
(Synset(awaken.v.01), [5, 2])
(Synset(cutting_implement.n.01), [5, 2])
(Synset(source_of_illumination.n.01), [5, 2])
(Synset(toiletry.n.01), [5, 2])
(Synset(sense.n.03), [5, 2])
(Synset(feature.n.01), [5, 2])
(Synset(reptile.n.01), [5, 2])
(Synset(accessory.n.02), [5, 2])
(Synset(plan_of_action.n.01), [5, 2])
(Synset(relationship.n.03), [5, 2])
(Synset(north_american.n.01), [5, 2])
(Synset(satisfaction.n.05), [5, 2])
(Synset(celebration.n.02), [5, 2])
(Synset(aggressiveness.n.01), [5, 2])
(Synset(gamete.n.01), [5, 2])
(Synset(abstraction.n.01), [5, 2])
(Synset(compression.n.04), [5, 2])
(Synset(activator.n.01), [5, 2])
(Synset(processing.n.01), [5, 2])
(Synset(shorten.v.03), [5, 2])
(Synset(natural_science.n.01), [5, 2])
(Synset(uncommonness.n.02), [5, 2])
(Synset(deck.n.01), [5, 2])
(Synset(military_unit.n.01), [5, 2])
(Synset(socialize.v.01), [5, 2])
(Synset(oxidation.n.01), [5, 2])
(Synset(maltreatment.n.01), [5, 2])
(Synset(copying.n.01), [5, 2])
(Synset(amorphous_shape.n.01), [5, 2])
(Synset(educational_institution.n.01), [4, 2])
(Synset(financial_gain.n.01), [4, 2])
(Synset(collegian.n.01), [4, 2])
(Synset(plains_indian.n.01), [4, 2])
(Synset(produce.v.03), [4, 2])
(Synset(lie.v.02), [4, 2])
(Synset(enlarge.v.01), [4, 2])
(Synset(longing.n.01), [4, 2])
(Synset(pleading.n.01), [4, 2])
(Synset(molecule.n.01), [4, 2])
(Synset(complex_number.n.01), [4, 2])
(Synset(rule.n.01), [4, 2])
(Synset(address.v.01), [4, 2])
(Synset(choice.n.02), [4, 2])
(Synset(religious_ceremony.n.01), [4, 2])
(Synset(carrier.n.05), [4, 2])
(Synset(press.n.09), [4, 2])
(Synset(test.n.02), [4, 2])
(Synset(mathematical_relation.n.01), [4, 2])
(Synset(taste.n.03), [4, 2])
(Synset(contest.n.01), [4, 2])
(Synset(hold.v.11), [4, 2])
(Synset(saurian.n.01), [4, 2])
(Synset(prize.v.01), [4, 2])
(Synset(classification.n.03), [4, 2])
(Synset(stroke.v.01), [4, 2])
(Synset(contractile_organ.n.01), [4, 2])
(Synset(spiritual_leader.n.01), [4, 2])
(Synset(audio_system.n.01), [4, 2])
(Synset(domestic_partner.n.01), [4, 2])
(Synset(arrangement.n.03), [4, 2])
(Synset(female_child.n.01), [4, 2])
(Synset(politician.n.02), [3, 2])
(Synset(denial.n.01), [3, 2])
(Synset(recumb.v.01), [3, 2])
(Synset(acting.n.01), [3, 2])
(Synset(assertion.n.01), [3, 2])
(Synset(resoluteness.n.01), [3, 2])
(Synset(transform.v.02), [3, 2])
(Synset(reading.n.03), [3, 2])
(Synset(representation.n.10), [3, 2])
(Synset(percept.n.01), [3, 2])
(Synset(simple_closed_curve.n.01), [3, 2])
(Synset(rewriting.n.01), [3, 2])
(Synset(line.n.05), [3, 2])
(Synset(know-how.n.01), [3, 2])
(Synset(syntagma.n.01), [3, 2])
(Synset(grasp.v.01), [3, 2])
(Synset(discretion.n.05), [3, 2])
(Synset(anseriform_bird.n.01), [3, 2])
(Synset(creating_from_raw_materials.n.01), [3, 2])
(Synset(assignment.n.05), [3, 2])
(Synset(acquirer.n.01), [3, 2])
(Synset(machine.n.04), [3, 2])
(Synset(emit.v.01), [3, 2])
(Synset(biology.n.01), [3, 2])
(Synset(vessel.n.01), [3, 2])
(Synset(liberation.n.01), [3, 2])
(Synset(negative_stimulus.n.01), [3, 2])
(Synset(stick.n.01), [3, 2])
(Synset(graphic_art.n.01), [3, 2])
(Synset(extinguish.v.04), [3, 2])
(Synset(music_genre.n.01), [3, 2])
(Synset(coincide.v.01), [3, 2])
(Synset(sheet.n.02), [3, 2])
(Synset(information_gathering.n.01), [2, 2])
(Synset(immorality.n.01), [2, 2])
(Synset(globule.n.01), [2, 2])
(Synset(distance.n.01), [2, 2])
(Synset(whale.n.02), [2, 2])
(Synset(tendency.n.03), [2, 2])
(Synset(circuit.n.01), [2, 2])
(Synset(musical_notation.n.01), [2, 2])
(Synset(writing.n.05), [2, 2])
(Synset(reactor.n.01), [2, 2])
(Synset(grow.v.07), [2, 2])
(Synset(government_department.n.01), [2, 2])
(Synset(cleanse.v.01), [2, 2])
(Synset(wisdom.n.03), [2, 2])
(Synset(illumination.n.02), [2, 2])
(Synset(motor.n.01), [2, 2])
(Synset(cardiovascular_disease.n.01), [2, 2])
(Synset(temperature_change.n.01), [2, 2])
(Synset(fiber_bundle.n.01), [2, 2])
(Synset(scarf.n.01), [2, 2])
(Synset(change_of_direction.n.01), [2, 2])
(Synset(decay.n.04), [2, 2])
(Synset(running_away.n.01), [2, 2])
(Synset(argumentation.n.02), [2, 2])
(Synset(progenitor.n.01), [2, 2])
(Synset(earth.n.02), [2, 2])
(Synset(bodily_property.n.01), [2, 2])
(Synset(scientist.n.01), [2, 2])
(Synset(drop.v.02), [2, 2])
(Synset(increase.n.03), [2, 2])
(Synset(match.v.05), [2, 2])
(Synset(negotiable_instrument.n.01), [2, 2])
(Synset(section.n.04), [2, 2])
(Synset(exploit.v.01), [2, 2])
(Synset(device.n.02), [2, 2])
(Synset(afroasiatic.n.01), [2, 2])
(Synset(stunt.n.01), [2, 2])
(Synset(nullification.n.02), [2, 2])
(Synset(notation.n.01), [2, 2])
(Synset(order.n.03), [2, 2])
(Synset(unsoundness.n.01), [1, 2])
(Synset(wagon.n.01), [1, 2])
(Synset(transducer.n.01), [1, 2])
(Synset(fluid.n.02), [1, 2])
(Synset(coercion.n.01), [1, 2])
(Synset(monster.n.01), [1, 2])
(Synset(breakfast_food.n.01), [1, 2])
(Synset(form.n.10), [1, 2])
(Synset(bacteria.n.01), [1, 2])
(Synset(malayo-polynesian.n.01), [1, 2])
(Synset(appendage.n.03), [1, 2])
(Synset(phone.n.02), [1, 2])
(Synset(adjust.v.03), [1, 2])
(Synset(limit.n.04), [1, 2])
(Synset(closed_curve.n.01), [1, 2])
(Synset(vital_principle.n.01), [1, 2])
(Synset(indicate.v.03), [1, 2])
(Synset(incaution.n.01), [1, 2])
(Synset(genealogy.n.01), [1, 2])
(Synset(virus.n.01), [1, 2])
(Synset(union.n.09), [1, 2])
(Synset(independence.n.01), [1, 2])
(Synset(planning.n.03), [1, 2])
(Synset(channel.n.02), [1, 2])
(Synset(cardinal_virtue.n.01), [1, 2])
(Synset(corrective.n.01), [1, 2])
(Synset(remember.v.01), [1, 2])
(Synset(white.n.01), [1, 2])
(Synset(medical_practitioner.n.01), [1, 2])
(Synset(germanic.n.01), [1, 2])
(Synset(partisan.n.01), [1, 2])
(Synset(timing.n.01), [1, 2])
(Synset(write.v.07), [1, 2])
(Synset(prose.n.01), [1, 2])
(Synset(brew.n.01), [1, 2])
(Synset(personal_computer.n.01), [1, 2])
(Synset(discipline.n.03), [1, 2])
(Synset(slave.n.01), [1, 2])
(Synset(address.n.03), [1, 2])
(Synset(dyscrasia.n.01), [1, 2])
(Synset(scape.n.01), [1, 2])
(Synset(perversion.n.02), [1, 2])
(Synset(class.n.01), [1, 2])
(Synset(holiday.n.02), [1, 2])
(Synset(course.n.07), [1, 2])
(Synset(earth_science.n.01), [1, 2])
(Synset(southerner.n.01), [1, 2])
(Synset(magnetization.n.01), [1, 2])
(Synset(sights.n.01), [1, 2])
(Synset(depository_financial_institution.n.01), [1, 2])
(Synset(infidelity.n.01), [1, 2])
(Synset(outdoor_sport.n.01), [1, 2])
(Synset(causal_agent.n.01), [1129, 1])
(Synset(change.v.01), [991, 1])
(Synset(activity.n.01), [456, 1])
(Synset(travel.v.01), [324, 1])
(Synset(happening.n.01), [290, 1])
(Synset(inform.v.01), [210, 1])
(Synset(message.n.02), [209, 1])
(Synset(be.v.01), [197, 1])
(Synset(give.v.03), [195, 1])
(Synset(structure.n.01), [192, 1])
(Synset(content.n.05), [187, 1])
(Synset(material.n.01), [149, 1])
(Synset(process.n.02), [144, 1])
